jogador,time,posicao,Minutos,xG,xAG,G-PK,Assistencias,PrgC,PrgP,Key_Pass,Passing 1/3,Cross,Dribles_Tentados,Dribles_certos,%Dribles,Acoes Ofensivas
Bukayo Saka,Arsenal,"FW,MF",1729,6.8,7.6,5,10,96,70,58,15,117,90,41,45.6% (41/90),166
Declan Rice,Arsenal,MF,2825,3.5,6.6,4,7,90,192,59,137,164,29,14,48.3% (14/29),282
Ethan Nwaneri,Arsenal,"FW,MF",895,1.2,1.2,4,2,46,33,16,17,54,62,37,59.7% (37/62),79
Gabriel Jesus,Arsenal,FW,608,3.0,0.7,3,0,15,19,8,10,7,22,9,40.9% (9/22),34
Gabriel Martinelli,Arsenal,"FW,MF",2290,7.4,5.0,8,4,124,52,40,11,92,109,33,30.3% (33/109),176
Jorginho,Arsenal,MF,704,0.1,0.4,0,0,12,48,3,44,1,4,1,25.0% (1/4),60
Kai Havertz,Arsenal,"FW,MF",1875,9.5,2.4,9,3,35,61,17,27,11,38,9,23.7% (9/38),96
Leandro Trossard,Arsenal,FW,2546,7.2,6.1,8,7,80,101,41,45,86,86,38,44.2% (38/86),181
Martin Ødegaard,Arsenal,MF,2325,4.8,5.4,2,8,92,258,63,132,86,59,25,42.4% (25/59),350
Mikel Merino,Arsenal,"MF,FW",1586,5.9,2.0,7,2,11,69,17,40,13,23,9,39.1% (9/23),80
Amadou Onana,Aston Villa,MF,1617,2.1,0.7,3,0,29,75,10,69,2,20,14,70.0% (14/20),104
Boubacar Kamara,Aston Villa,MF,1726,0.8,0.9,1,0,19,85,11,91,1,27,9,33.3% (9/27),104
Jacob Ramsey,Aston Villa,"FW,MF",1623,1.6,2.3,1,3,61,68,21,31,12,46,25,54.3% (25/46),129
John McGinn,Aston Villa,"MF,FW",2223,3.1,3.5,1,4,32,103,31,70,60,47,20,42.6% (20/47),135
Jáder Durán,Aston Villa,FW,638,4.9,0.2,7,0,7,13,4,10,3,14,3,21.4% (3/14),20
Leon Bailey,Aston Villa,"FW,MF",1139,1.7,1.5,1,2,58,35,16,16,34,57,22,38.6% (22/57),93
Marco Asensio,Aston Villa,MF,743,4.4,1.0,3,1,22,45,16,20,38,19,12,63.2% (12/19),67
Morgan Rogers,Aston Villa,"FW,MF",3114,6.6,7.8,8,10,114,123,51,73,27,160,66,41.2% (66/160),237
Ollie Watkins,Aston Villa,FW,2598,15.3,3.3,14,8,55,31,24,12,7,41,10,24.4% (10/41),86
Youri Tielemans,Aston Villa,MF,3026,3.3,7.0,3,7,39,235,60,229,119,61,31,50.8% (31/61),274
