jogador,time,posicao,Minutos,Prgc,PrgP,Aerial Duel%,Aerial Duel Won,Aerial Duel Lost,Fouls,Yellow Card,Red Card,2 Yellow Card,Desarmes Certos,Desarmes Totais,Desarmes%,Interceptacao,Erros,Aerial Duels 
Ben White,Arsenal,DF,1198,23,59,66.7,18,9,10,2,0,0,16,38,42.1,16,0,66.7% (18/9)
Gabriel Magalhães,Arsenal,DF,2363,10,126,58.9,53,37,19,4,0,0,12,16,75.0,16,2,58.9% (53/37)
Jakub Kiwior,Arsenal,DF,1122,5,48,45.8,11,13,10,1,0,0,11,15,73.3,6,3,45.8% (11/13)
Jurriën Timber,Arsenal,DF,2417,57,146,52.4,22,20,31,7,0,0,18,27,66.7,22,1,52.4% (22/20)
Myles Lewis-Skelly,Arsenal,DF,1369,37,71,52.4,11,10,11,3,2,0,10,11,90.9,7,0,52.4% (11/10)
Riccardo Calafiori,Arsenal,DF,983,22,54,61.1,22,14,16,4,0,0,18,29,62.1,9,0,61.1% (22/14)
William Saliba,Arsenal,DF,3039,16,138,62.9,61,36,28,2,1,0,21,28,75.0,21,7,62.9% (61/36)
Diego Carlos,Aston Villa,DF,830,3,34,52.4,11,10,11,1,0,0,4,6,66.7,5,2,52.4% (11/10)
Ezri Konsa,Aston Villa,DF,2936,24,90,57.4,31,23,9,1,0,0,20,25,80.0,24,4,57.4% (31/23)
Ian Maatsen,Aston Villa,DF,1139,31,50,62.5,10,6,11,2,0,0,17,24,70.8,15,3,62.5% (10/6)
Lucas Digne,Aston Villa,DF,2351,23,57,56.9,37,28,21,4,0,0,44,66,66.7,25,1,56.9% (37/28)
Matty Cash,Aston Villa,DF,2070,48,42,50.0,20,20,27,7,0,0,31,43,72.1,23,2,50.0% (20/20)
Pau Torres,Aston Villa,DF,2020,40,97,38.3,18,29,8,2,0,0,10,17,58.8,10,2,38.3% (18/29)
Tyrone Mings,Aston Villa,DF,1120,7,40,55.1,27,22,4,1,0,0,2,2,100.0,7,1,55.1% (27/22)
Adam Smith,Bournemouth,DF,1590,15,49,48.3,14,15,19,7,0,0,14,27,51.9,15,1,48.3% (14/15)
Dean Huijsen,Bournemouth,DF,2427,41,132,60.7,68,44,31,10,0,0,18,29,62.1,51,4,60.7% (68/44)
Illia Zabarnyi,Bournemouth,DF,3109,27,140,63.6,77,44,20,4,1,0,34,50,68.0,41,2,63.6% (77/44)
Marcos Senesi,Bournemouth,DF,1106,12,62,52.5,32,29,22,5,0,0,14,31,45.2,14,0,52.5% (32/29)
Milos Kerkez,Bournemouth,DF,3336,106,159,36.4,28,49,30,4,0,0,24,38,63.2,45,4,36.4% (28/49)
Ethan Pinnock,Brentford,DF,1913,3,41,59.4,63,43,8,2,0,0,13,24,54.2,24,4,59.4% (63/43)
Kristoffer Ajer,Brentford,DF,1438,27,56,54.0,27,23,13,5,0,0,14,27,51.9,12,0,54.0% (27/23)
Mads Roerslev,Brentford,DF,1101,17,51,41.7,10,14,6,2,0,0,11,28,39.3,4,0,41.7% (10/14)
