jogador,time,posicao,idade,Minutos,Prgc,PrgP,Amarelo,Vermelho,2 Amarelo,Falta Cometida,interceptacao,recuperacoes,Duelos Aereoes W,Duelos Aereoes L,Duelos Aereoes W%,Divididas Total,Divididas Ganhas,Clearence,Erros
Declan Rice,Arsenal,MF,25,2825,90,192,7,1,1,21,25,156,37,25,59.7,53,25,51,0
Jorginho,Arsenal,MF,32,704,12,48,5,0,0,15,7,55,1,6,14.3,12,4,2,2
Martin Ødegaard,Arsenal,MF,25,2325,92,258,4,0,0,12,6,97,8,7,53.3,19,11,6,1
Amadou Onana,Aston Villa,MF,22,1617,29,75,4,0,0,32,26,72,32,21,60.4,55,30,41,3
Boubacar Kamara,Aston Villa,MF,24,1726,19,85,2,0,0,30,19,87,21,26,44.7,50,21,51,3
Marco Asensio,Aston Villa,MF,28,743,22,45,2,0,0,11,2,28,0,1,0.0,7,5,3,0
Youri Tielemans,Aston Villa,MF,27,3026,39,235,4,0,0,41,23,145,22,18,55.0,84,58,47,4
Alex Scott,Bournemouth,MF,20,755,15,52,3,0,0,17,10,52,7,7,50.0,27,14,15,0
Justin Kluivert,Bournemouth,MF,25,2340,81,105,8,0,0,47,14,78,8,28,22.2,23,11,24,1
Ryan Christie,Bournemouth,MF,29,2117,34,137,9,0,0,43,30,182,20,28,41.7,54,33,51,3
Tyler Adams,Bournemouth,MF,25,1965,14,76,7,0,0,45,32,114,31,18,63.3,83,50,42,0
Christian Nørgaard,Brentford,MF,30,2819,14,154,8,1,0,44,49,193,49,30,62.0,79,49,70,1
Mathias Jensen,Brentford,MF,28,862,6,61,2,0,0,7,8,48,8,5,61.5,14,10,13,2
Vitaly Janelt,Brentford,MF,26,2254,17,80,3,0,0,24,27,107,19,11,63.3,38,22,53,1
Yehor Yarmoliuk,Brentford,MF,20,1450,15,63,6,0,0,19,13,113,8,10,44.4,49,28,33,0
Carlos Baleba,Brighton,MF,20,2661,43,118,8,1,1,40,46,197,39,26,60.0,79,46,44,1
Matt O'Riley,Brighton,MF,23,938,22,38,1,0,0,16,13,29,5,8,38.5,16,9,9,1
Yasin Ayari,Brighton,MF,20,1965,30,75,3,0,0,37,20,118,16,20,44.4,59,32,26,0
Enzo Fernández,Chelsea,MF,23,2947,60,212,8,0,0,52,13,156,14,29,32.6,65,33,23,4
Roméo Lavia,Chelsea,MF,20,797,3,31,4,0,0,16,16,40,12,6,66.7,22,13,10,1
Adam Wharton,Crystal Palace,MF,20,1318,14,107,2,0,0,12,20,102,7,16,30.4,34,14,27,0
Daichi Kamada,Crystal Palace,MF,27,1564,25,88,4,1,0,28,18,89,4,13,23.5,47,29,14,0
Ismaila Sarr,Crystal Palace,MF,26,2711,76,86,4,0,0,14,9,113,37,52,41.6,22,10,40,0
Will Hughes,Crystal Palace,MF,29,2108,20,87,11,0,0,65,21,121,19,18,51.4,66,36,28,3
Abdoulaye Doucouré,Everton,MF,31,2564,42,82,5,1,1,49,10,150,30,44,40.5,48,28,20,1
Idrissa Gana Gueye,Everton,MF,34,3063,27,145,9,0,0,55,48,194,24,15,61.5,133,80,36,1
Orel Mangala,Everton,MF,26,1261,6,34,2,0,0,24,21,49,6,8,42.9,16,8,24,1
Andreas Pereira,Fulham,MF,28,2013,29,104,7,0,0,28,8,100,13,23,36.1,24,13,17,3
Emile Smith Rowe,Fulham,MF,24,2043,53,126,3,0,0,19,11,75,6,20,23.1,31,18,16,0
Sander Berge,Fulham,MF,26,2224,29,124,6,0,0,31,21,126,28,22,56.0,50,30,38,1
Saša Lukić,Fulham,MF,27,2344,39,98,12,0,0,66,28,109,19,25,43.2,68,39,35,1
Tom Cairney,Fulham,MF,33,628,18,53,3,1,0,8,4,52,5,9,35.7,13,5,3,1
