jogador,time,posicao,idade,Minutos,G-PK,Assist,Xg,xAG,xG+xAg,Prgc,PrgP,Cross,Faltas Sofridas,KeyPass,1/3,passPA,crossPA,Dribles tentados,Dribles Certos,Corridas 1/3,Corridas PA,PrgR
Bukayo Saka,Arsenal,"FW,MF",22,1729,5,10,6.8,7.6,13.7,96,70,117,39,58,15,38,12,90,41,32,51,255
Declan Rice,Arsenal,MF,25,2825,4,7,3.5,6.6,10.1,90,192,164,16,59,137,35,5,29,14,58,16,94
Ethan Nwaneri,Arsenal,"FW,MF",17,895,4,2,1.2,1.2,2.4,46,33,54,5,16,17,16,6,62,37,25,17,113
Gabriel Jesus,Arsenal,FW,27,608,3,0,3.0,0.7,3.7,15,19,7,10,8,10,9,1,22,9,6,11,57
Gabriel Martinelli,Arsenal,"FW,MF",23,2290,8,4,7.4,5.0,12.4,124,52,92,21,40,11,37,15,109,33,33,64,289
Jorginho,Arsenal,MF,32,704,0,0,0.1,0.4,0.5,12,48,1,17,3,44,10,0,4,1,13,0,6
Kai Havertz,Arsenal,"FW,MF",25,1875,9,3,9.5,2.4,12.0,35,61,11,23,17,27,9,1,38,9,23,18,113
Leandro Trossard,Arsenal,FW,29,2546,8,7,7.2,6.1,13.3,80,101,86,46,41,45,48,10,86,38,55,30,226
Martin Ødegaard,Arsenal,MF,25,2325,2,8,4.8,5.4,9.5,92,258,86,23,63,132,86,5,59,25,85,26,154
Mikel Merino,Arsenal,"MF,FW",28,1586,7,2,5.9,2.0,7.9,11,69,13,23,17,40,24,4,23,9,13,4,94
Amadou Onana,Aston Villa,MF,22,1617,3,0,2.1,0.7,2.8,29,75,2,30,10,69,12,2,20,14,25,1,16
Boubacar Kamara,Aston Villa,MF,24,1726,1,0,0.8,0.9,1.7,19,85,1,35,11,91,10,0,27,9,13,2,7
Jacob Ramsey,Aston Villa,"FW,MF",23,1623,1,3,1.6,2.3,3.9,61,68,12,28,21,31,21,1,46,25,31,21,114
John McGinn,Aston Villa,"MF,FW",29,2223,1,4,3.1,3.5,6.3,32,103,60,69,31,70,29,8,47,20,17,7,87
Jáder Durán,Aston Villa,FW,20,638,7,0,4.9,0.2,5.1,7,13,3,15,4,10,1,0,14,3,7,2,44
Leon Bailey,Aston Villa,"FW,MF",26,1139,1,2,1.7,1.5,3.3,58,35,34,18,16,16,20,2,57,22,23,34,121
Marco Asensio,Aston Villa,MF,28,743,3,1,4.4,1.0,3.8,22,45,38,8,16,20,11,2,19,12,21,5,38
Morgan Rogers,Aston Villa,"FW,MF",22,3114,8,10,6.6,7.8,14.4,114,123,27,51,51,73,56,3,160,66,68,33,188
Ollie Watkins,Aston Villa,FW,28,2598,14,8,15.3,3.3,17.1,55,31,7,33,24,12,13,0,41,10,21,38,165
Youri Tielemans,Aston Villa,MF,27,3026,3,7,3.3,7.0,9.5,39,235,119,56,60,229,38,4,61,31,26,9,48
Alex Scott,Bournemouth,MF,20,755,0,0,0.7,0.9,1.6,15,52,7,26,12,41,5,1,26,6,10,3,33
Antoine Semenyo,Bournemouth,FW,24,3203,11,5,10.0,5.8,15.8,140,109,59,37,46,49,45,8,135,69,69,67,282
Dango Ouattara,Bournemouth,FW,22,2005,7,4,8.4,5.5,13.8,79,43,88,19,35,21,26,11,82,39,35,38,191
David Brooks,Bournemouth,"FW,MF",27,960,2,0,2.5,1.9,4.4,35,35,52,18,20,22,18,6,34,11,25,10,83
Evanilson,Bournemouth,FW,24,2319,10,1,12.5,1.9,13.6,29,28,0,53,26,14,6,0,21,7,18,15,99
Justin Kluivert,Bournemouth,MF,25,2340,6,6,10.3,4.8,10.5,81,105,85,33,45,45,35,6,87,36,55,38,173
Marcus Tavernier,Bournemouth,"FW,MF",25,1939,3,5,5.5,4.0,9.5,53,128,108,28,43,80,40,14,65,28,51,9,129
Ryan Christie,Bournemouth,MF,29,2117,2,3,1.8,3.5,5.4,34,137,48,31,41,118,33,5,48,23,40,8,44
Tyler Adams,Bournemouth,MF,25,1965,0,3,1.6,1.0,2.6,14,76,3,21,18,67,4,1,18,4,22,1,10
Bryan Mbeumo,Brentford,FW,24,3414,15,7,12.3,8.3,15.9,130,141,202,44,70,63,59,19,111,52,69,75,351
Christian Nørgaard,Brentford,MF,30,2819,5,4,4.3,1.3,5.6,14,154,17,28,18,137,27,4,14,7,16,4,42
Kevin Schade,Brentford,FW,22,2293,11,2,8.2,3.7,11.9,61,38,38,38,23,32,11,3,89,30,28,38,165
Mathias Jensen,Brentford,MF,28,862,0,2,0.2,1.7,1.9,6,61,33,10,16,42,19,3,17,9,12,0,27
Mikkel Damsgaard,Brentford,"MF,FW",24,2911,2,10,2.8,8.4,11.2,73,234,144,27,63,167,73,17,97,50,54,9,137
Vitaly Janelt,Brentford,MF,26,2254,1,3,0.8,2.2,3.0,17,80,30,15,14,78,23,7,12,3,18,3,38
Yehor Yarmoliuk,Brentford,MF,20,1450,0,0,0.6,0.9,1.5,15,63,16,13,9,71,8,4,27,13,19,3,47
Yoane Wissa,Brentford,FW,27,2919,19,4,18.5,2.6,21.1,60,67,20,51,27,44,13,1,49,15,26,34,154
Brajan Gruda,Brighton,"MF,FW",20,687,1,4,1.2,2.1,3.3,22,26,29,12,23,12,12,1,30,13,19,13,57
Carlos Baleba,Brighton,MF,20,2661,3,1,3.1,1.3,4.4,43,118,9,48,21,109,23,3,57,33,45,3,29
Danny Welbeck,Brighton,FW,33,2115,9,4,9.6,1.4,10.1,21,47,3,23,23,18,14,0,37,13,23,8,95
Georginio Rutter,Brighton,"MF,FW",22,1656,5,3,4.6,2.5,7.1,42,67,9,45,19,30,16,1,71,27,36,16,79
João Pedro,Brighton,"FW,MF",22,1948,5,6,8.9,5.0,10.0,66,78,22,46,30,42,36,5,86,29,39,30,128
Kaoru Mitoma,Brighton,"FW,MF",27,2603,10,4,9.2,4.6,13.8,146,89,75,24,37,36,36,8,131,52,82,56,291
Matt O'Riley,Brighton,MF,23,938,1,2,2.8,2.4,4.4,22,38,51,13,21,30,8,1,13,8,12,8,52
Simon Adingra,Brighton,"FW,MF",22,1097,2,2,2.5,2.5,4.9,50,18,41,4,16,5,17,6,50,21,21,27,136
Yankuba Minteh,Brighton,"FW,MF",20,1838,6,4,4.1,5.0,9.1,90,48,91,11,29,14,36,9,98,46,24,67,201
Yasin Ayari,Brighton,MF,20,1965,2,1,2.4,2.3,4.8,30,75,69,26,30,55,18,4,45,18,25,6,61
Christopher Nkunku,Chelsea,FW,26,921,3,2,4.8,2.1,6.9,17,25,4,11,14,26,7,0,27,10,16,13,68
Cole Palmer,Chelsea,"MF,FW",22,3191,11,8,17.3,10.9,24.2,120,214,144,60,87,163,64,17,113,51,76,41,187
Enzo Fernández,Chelsea,MF,23,2947,6,7,6.1,6.8,12.9,60,212,109,54,77,167,41,7,55,26,55,9,126
Jadon Sancho,Chelsea,FW,24,1764,3,4,2.2,3.7,5.8,102,90,25,11,38,28,48,0,97,45,35,57,225
Nicolas Jackson,Chelsea,FW,23,2220,10,5,12.3,4.3,16.6,47,38,3,29,28,22,10,1,61,18,25,32,129
Noni Madueke,Chelsea,FW,22,2033,7,3,9.6,4.2,13.9,154,69,63,25,32,16,35,8,102,45,50,93,226
