jogador,time,posicao,Minutos,GA,SoTA,Saves,Saves%,Clean Sheet,Clean Sheet%,PSxG,PSxG+/-,Passes Att,Passes Launch%,Passes AvgLen,Crosses Opp,Crosses Stp,Crosses Stp%,Sweeper #OPA,Sweeper #OPA/90,Sweeper AvgDist
David Raya,Arsenal,GK,3420,34,120,86,74.2,13,34.2,35.1,1.1,1263,29.9,29.9,402,53,13.2,66,1.74,17.2
Emiliano Martínez,Aston Villa,GK,3194,45,142,96,69.0,8,21.6,45.8,0.8,1208,26.3,30.4,498,56,11.2,35,0.99,13.7
Kepa Arrizabalaga,Bournemouth,GK,2790,39,134,95,73.9,8,25.8,41.0,2.0,831,33.2,32.9,367,22,6.0,54,1.74,16.0
Mark Flekken,Brentford,GK,3275,55,203,150,73.4,7,18.9,52.7,-0.3,1498,33.7,34.4,581,46,7.9,34,0.93,11.5
Bart Verbruggen,Brighton,GK,3240,58,143,87,65.7,7,19.4,51.0,-5.0,1226,26.9,29.7,414,27,6.5,47,1.31,13.9
Robert Sánchez,Chelsea,GK,2880,34,127,92,76.4,10,31.3,35.7,1.7,1160,33.3,33.4,370,47,12.7,57,1.78,14.5
Dean Henderson,Crystal Palace,GK,3420,51,150,101,66.7,11,28.9,51.2,3.2,943,47.4,38.5,560,30,5.4,40,1.05,14.3
Jordan Pickford,Everton,GK,3420,44,163,117,73.0,12,31.6,48.8,4.8,1355,48.8,39.7,558,31,5.6,57,1.5,15.2
Bernd Leno,Fulham,GK,3420,54,159,106,67.9,5,13.2,48.9,-3.1,1231,22.7,28.9,507,23,4.5,33,0.87,13.3
Alex Palmer,Ipswich Town,GK,1170,30,71,43,59.2,0,0.0,25.1,-2.9,329,36.8,33.9,249,20,8.0,13,1.0,11.5
Arijanet Muric,Ipswich Town,GK,1620,33,100,67,70.0,1,5.6,31.4,-1.6,534,29.6,30.3,249,39,15.7,20,1.11,12.2
Christian Walton,Ipswich Town,GK,630,19,39,20,56.4,1,14.3,17.1,-1.9,204,42.6,34.3,111,12,10.8,2,0.29,8.2
Jakub Stolarczyk,Leicester City,GK,900,16,44,28,63.6,2,20.0,15.4,-0.6,328,46.3,34.2,169,10,5.9,8,0.8,12.5
Mads Hermansen,Leicester City,GK,2385,58,155,99,64.5,1,3.7,56.4,1.4,926,39.2,34.6,419,26,6.2,26,0.98,13.1
Alisson,Liverpool,GK,2508,29,100,73,72.0,9,32.1,30.5,3.5,877,19.7,26.6,255,11,4.3,49,1.76,16.0
Caoimhín Kelleher,Liverpool,GK,900,12,37,24,67.6,4,40.0,11.6,-0.4,364,28.6,29.0,113,6,5.3,9,0.9,14.0
Ederson,Manchester City,GK,2320,26,78,53,69.2,10,38.5,30.0,5.0,846,17.4,27.9,224,13,5.8,49,1.9,17.5
Stefan Ortega,Manchester City,GK,1100,18,50,33,68.0,3,25.0,16.3,-0.7,409,21.5,26.7,133,6,4.5,12,0.98,14.3
André Onana,Manchester Utd,GK,3060,44,132,88,68.9,9,26.5,44.0,1.0,1152,29.7,30.3,399,22,5.5,23,0.68,11.8
Martin Dúbravka,Newcastle Utd,GK,900,12,41,29,70.7,5,50.0,12.9,0.9,273,15.8,25.2,127,10,7.9,11,1.1,15.3
Nick Pope,Newcastle Utd,GK,2520,35,120,86,71.7,8,28.6,34.8,1.8,595,25.7,30.7,359,39,10.9,64,2.29,16.0
Matz Sels,Nott'ham Forest,GK,3420,46,165,119,73.9,13,34.2,49.1,3.1,715,68.4,44.7,710,19,2.7,12,0.32,8.7
Aaron Ramsdale,Southampton,GK,2700,66,188,120,67.6,3,10.0,63.5,-2.5,1026,44.6,36.0,457,25,5.5,20,0.67,11.7
Fraser Forster,Tottenham,GK,630,15,42,27,69.0,1,14.3,16.5,1.5,141,21.3,27.2,81,4,4.9,3,0.43,11.1
